NAME,STATE,CONSTITUENCY,PARTY,GENDER,AGE,CATEGORY,EDUCATION,CRIMINAL,ASSETS,LIABILITIES,WINNER,SYMBOL,GENERAL,POSTAL,TOTAL,% of Votes Secured - Over Total Votes Polled In Constituency,% of Votes Secured - Over Total Electors In Constituency,Over Total Valid Votes Polled In Constituency,Valid Votes,Total Votes Polled In The Constituency,TOTAL ELECTORS
KOTHAPALLI GEETHA,Andhra Pradesh,Araku,BJP,FEMALE,53,ST,Post Graduate,2,167166953,117654232,0,Lotus,417113,9312,426425,36.58,27.38,38.28,1113975,1165787,1557153
APPALANARASA PACHIPENTA,Andhra Pradesh,Araku,CPI(M),MALE,41,ST,Post Graduate,4,,,0,"Hammer, Sickle and Star",119016,4113,123129,10.56,7.91,11.05,1113975,1165787,1557153
KINJARAPU RAMMOHAN NAIDU,Andhra Pradesh,Srikakulam,TDP,MALE,36,GENERAL,Post Graduate,4,,,1,Bicycle,734501,19827,754328,60.78,45.81,62.29,1211081,1241169,1646686
PEDADA PARAMESWARA RAO,Andhra Pradesh,Srikakulam,INC,MALE,59,GENERAL,Doctorate,1,51575569,950000,0,Hand,6724,448,7172,0.58,0.44,0.59,1211081,1241169,1646686
VABA YOGESWARA RAO,Andhra Pradesh,Srikakulam,IND,MALE,39,ST,10th Pass,3,,,0,Road roller,3472,126,3598,0.29,0.22,0.3,1211081,1241169,1646686
BELLANA CHANDRASEKHAR,Andhra Pradesh,Vizianagaram,YSRCP,MALE,62,GENERAL,Graduate Professional,5,22000775,9852470,0,Ceiling fan,487691,6071,493762,37.76,31.03,38.7,1275992,1307632,1590994
SRIBHARAT MATHUKUMILI,Andhra Pradesh,Visakhapatnam,TDP,MALE,35,GENERAL,Post Graduate,2,2989586580,18964522,1,Bicycle,893884,13583,907467,65.23,46.98,65.67,1381812,1391130,1931398
K.A. PAUL,Andhra Pradesh,Visakhapatnam,PRSHP,MALE,60,GENERAL,12th Pass,6,196071,0,0,Pot,7529,167,7696,0.55,0.4,0.56,1381812,1391130,1931398
C.M.RAMESH,Andhra Pradesh,Anakapalle,BJP,MALE,58,GENERAL,12th Pass,5,,,1,Lotus,750027,12042,762069,57.35,47.59,58.66,1299097,1328726,1601365
VEGI VENKATESH,Andhra Pradesh,Anakapalle,INC,MALE,50,GENERAL,Post Graduate,1,23596732,9604000,0,Hand,24833,818,25651,1.93,1.6,1.97,1299097,1328726,1601365
APPALA RAJU NAMMI,Andhra Pradesh,Anakapalle,BCYP,MALE,54,GENERAL,5th Pass,3,47810500,8600000,0,Ganna kisan,2589,30,2619,0.2,0.16,0.2,1299097,1328726,1601365
TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Andhra Pradesh,Kakinada,JnP,MALE,38,GENERAL,12th Pass,1,,,1,Glass tumbler,718971,10728,729699,54.81,44.63,55.59,1312583,1331386,1634921
BUGATHA BANGARRAO,Andhra Pradesh,Kakinada,CPI(ML)(L),MALE,63,GENERAL,10th Pass,3,4210000,980000,0,Flag with three stars,2816,7,2823,0.21,0.17,0.22,1312583,1331386,1634921
BHAVANI SANKAR PRASAD MERLA,Andhra Pradesh,Kakinada,IND,MALE,64,GENERAL,5th Pass,1,23790000,600000,0,Pressure cooker,1963,6,1969,0.15,0.12,0.15,1312583,1331386,1634921
YENUGUPALLI KRISHNA,Andhra Pradesh,Kakinada,JRBP,MALE,44,SC,Graduate,4,6760715,3225113,0,Coat,1762,18,1780,0.13,0.11,0.14,1312583,1331386,1634921
RAPAKA VARAPRASADA RAO,Andhra Pradesh,Amalapuram,YSRCP,MALE,65,SC,10th Pass,2,24725608,2987883,0,Ceiling fan,450362,4423,454785,34.93,29.68,35.32,1287588,1301934,1532229
YADLA RAJESH,Andhra Pradesh,Amalapuram,LBCP,MALE,32,SC,Others,1,525000,880000,0,Well,628,7,635,0.05,0.04,0.05,1287588,1301934,1532229
DAGGUBATI PURANDHESHWARI,Andhra Pradesh,Rajahmundry,BJP,FEMALE,67,GENERAL,Graduate,1,,,1,Lotus,718641,7874,726515,54.66,44.74,55.85,1300862,1329162,1623852
GIDUGU RUDRARAJU,Andhra Pradesh,Rajahmundry,INC,MALE,55,GENERAL,Post Graduate,1,35394877,9341000,0,Hand,31441,1067,32508,2.45,2,2.5,1300862,1329162,1623852
MOHANARAO SINGULURI,Andhra Pradesh,Rajahmundry,JBNP,MALE,35,GENERAL,Post Graduate,2,2500000,1110000,0,Battery Torch,2818,15,2833,0.21,0.17,0.22,1300862,1329162,1623852
BHANU CHANDAR KURUVELLA,Andhra Pradesh,Rajahmundry,IND,MALE,39,SC,10th Pass,2,970320,0,0,Cauliflower,1955,3,1958,0.15,0.12,0.15,1300862,1329162,1623852
UMABALA GUDURI,Andhra Pradesh,Narsapuram,YSRCP,FEMALE,57,GENERAL,Graduate Professional,1,,,0,Ceiling fan,426037,4599,430636,34.94,29.22,35.19,1223597,1232553,1473811
PRASANNA KUMAR UNDURTHI,Andhra Pradesh,Narsapuram,IND,MALE,33,SC,Graduate,1,5599489,1504446,0,Diamond,6350,15,6365,0.52,0.43,0.52,1223597,1232553,1473811
MEDAPATI VENKATA VARAHALA REDDY,Andhra Pradesh,Narsapuram,IND,MALE,49,GENERAL,Others,2,30760000,600000,0,Chappals,5966,3,5969,0.48,0.41,0.49,1223597,1232553,1473811
NALLI RAJESH,Andhra Pradesh,Narsapuram,IND,MALE,41,SC,Others,3,7303031,2150000,0,Air conditioner,4684,0,4684,0.38,0.32,0.38,1223597,1232553,1473811
GOTTUMUKKALA SHIVAJI,Andhra Pradesh,Narsapuram,IND,MALE,53,SC,Post Graduate,3,21722000,0,0,Lady purse,1378,6,1384,0.11,0.09,0.11,1223597,1232553,1473811
ADABALA SIVA,Andhra Pradesh,Narsapuram,IND,MALE,40,GENERAL,10th Pass,2,,,0,Bat,682,1,683,0.06,0.05,0.06,1223597,1232553,1473811
PUTTA MAHESH KUMAR,Andhra Pradesh,Eluru,TDP,MALE,39,GENERAL,Graduate Professional,1,,,1,Bicycle,737644,8707,746351,53.77,45.56,54.9,1359534,1387990,1638116
BALASHOWRY VALLABHANENI,Andhra Pradesh,Machilipatnam,JnP,MALE,55,GENERAL,Post Graduate,2,1337214564,868102917,1,Glass tumbler,712149,12290,724439,55.07,47.04,55.73,1299878,1315489,1540045
GOLLU KRISHNA,Andhra Pradesh,Machilipatnam,INC,MALE,60,GENERAL,Others,6,,,0,Hand,31130,695,31825,2.42,2.07,2.45,1299878,1315489,1540045
JOGI VEERANJANEYULU,Andhra Pradesh,Machilipatnam,IND,MALE,32,GENERAL,12th Pass,5,,,0,Gas cylinder,1020,2,1022,0.08,0.07,0.08,1299878,1315489,1540045
KESINENI SRINIVAS (NANI),Andhra Pradesh,Vijayawada,YSRCP,MALE,58,GENERAL,10th Pass,1,,,0,Ceiling fan,505637,6432,512069,37.35,30.04,37.79,1355212,1371102,1704469
BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Andhra Pradesh,Vijayawada,TLRDSMTP,MALE,37,SC,Graduate Professional,3,,,0,Rubber stamp,609,6,615,0.04,0.04,0.05,1355212,1371102,1704469
DATLA LURTHU MERI,Andhra Pradesh,Vijayawada,JRBP,FEMALE,51,SC,12th Pass,1,,,0,Coat,409,8,417,0.03,0.02,0.03,1355212,1371102,1704469
DR CHANDRA SEKHAR PEMMASANI,Andhra Pradesh,Guntur,TDP,MALE,48,GENERAL,Post Graduate,1,57054727538,10380000000,1,Bicycle,851020,13928,864948,60.17,48.23,61,1417984,1437528,1793324
KILARI VENKATA ROSAIAH,Andhra Pradesh,Guntur,YSRCP,MALE,57,GENERAL,Graduate,1,780811167,50081433,0,Ceiling fan,513563,6690,520253,36.19,29.01,36.69,1417984,1437528,1793324
JANGALA AJAY KUMAR,Andhra Pradesh,Guntur,CPI,MALE,57,GENERAL,10th Pass,14,,,0,Ears of corn and sickle,8317,320,8637,0.6,0.48,0.61,1417984,1437528,1793324
SHAIK. KHAJAVALI,Andhra Pradesh,Guntur,IND,MALE,39,GENERAL,8th Pass,1,,,0,Apple,387,4,391,0.03,0.02,0.03,1417984,1437528,1793324
ANIL KUMAR POLUBOINA,Andhra Pradesh,Narsaraopet,YSRCP,MALE,44,GENERAL,Graduate Professional,1,,,0,Ceiling fan,642186,6081,648267,43.08,37.34,43.56,1488370,1504877,1736162
SUBBARAO CHALLA,Andhra Pradesh,Narsaraopet,IND,MALE,40,GENERAL,10th Pass,16,,,0,Cot,1051,0,1051,0.07,0.06,0.07,1488370,1504877,1736162
J.D. SEELAM,Andhra Pradesh,Bapatla,INC,MALE,70,SC,Post Graduate,1,,,0,Hand,41673,1586,43259,3.31,2.86,3.36,1287022,1308243,1511177
KONDRU KIRAN KUMAR,Andhra Pradesh,Bapatla,IND,MALE,46,SC,Graduate,2,7555000,0,0,Ganna kisan,791,6,797,0.06,0.05,0.06,1287022,1308243,1511177
DR CHEVIREDDY BHASKAR REDDY,Andhra Pradesh,Ongole,YSRCP,MALE,51,GENERAL,Doctorate,11,,,0,Ceiling fan,644052,7643,651695,45.7,40.36,46.25,1409009,1425958,1614525
EDA SUDHAKARA REDDY,Andhra Pradesh,Ongole,INC,MALE,50,GENERAL,Graduate Professional,1,28073241,189022,0,Hand,25803,919,26722,1.87,1.66,1.9,1409009,1425958,1614525
DR BYREDDY SHABARI,Andhra Pradesh,Nandyal,TDP,FEMALE,40,GENERAL,Post Graduate,2,147631050,32033423,1,Bicycle,689417,11714,701131,49.7,40.66,50.31,1393721,1410776,1724191
KOMMUSANI PEDDA KAMBAGIRI SWAMY,Andhra Pradesh,Nandyal,IND,MALE,51,GENERAL,12th Pass,1,1850000,0,0,Baby walker,4633,0,4633,0.33,0.27,0.33,1393721,1410776,1724191
GAGGERA VENKATA RAMANAIAH,Andhra Pradesh,Nandyal,IND,MALE,41,GENERAL,8th Pass,4,9300000,8182000,0,T.V. Remote,3027,4,3031,0.21,0.18,0.22,1393721,1410776,1724191
KUNUKUNTLA RAMUDU,Andhra Pradesh,Nandyal,IND,MALE,43,GENERAL,12th Pass,2,850000,0,0,Apple,1408,5,1413,0.1,0.08,0.1,1393721,1410776,1724191
BRAHMANANDA REDDY K,Andhra Pradesh,Nandyal,IND,MALE,57,GENERAL,10th Pass,1,3622000,270000,0,Bangles,1261,11,1272,0.09,0.07,0.09,1393721,1410776,1724191
NAGESWARA RAO,Andhra Pradesh,Nandyal,IND,MALE,66,GENERAL,8th Pass,1,,,0,Air conditioner,678,2,680,0.05,0.04,0.05,1393721,1410776,1724191
B C RAMANADHA AREDDY,Andhra Pradesh,Nandyal,IND,MALE,58,GENERAL,Graduate,1,28788630,14934781,0,Basket containing Fruits,472,0,472,0.03,0.03,0.03,1393721,1410776,1724191
I V PAKKIR REDDY,Andhra Pradesh,Nandyal,IND,MALE,75,GENERAL,Graduate,1,9303954,200000,0,Almirah,408,2,410,0.03,0.02,0.03,1393721,1410776,1724191
U P MUNI REDDY,Andhra Pradesh,Nandyal,IND,MALE,68,GENERAL,Illiterate,1,,,0,Bat,376,0,376,0.03,0.02,0.03,1393721,1410776,1724191
B Y RAMAIAH,Andhra Pradesh,Kurnoolu,YSRCP,MALE,57,GENERAL,Post Graduate,1,,,0,Ceiling fan,543801,3815,547616,40.88,31.76,41.48,1320269,1339542,1724191
JAHANGIR AHMED,Andhra Pradesh,Kurnoolu,SDPI,MALE,37,GENERAL,12th Pass,1,511000,0,0,Gas cylinder,2058,16,2074,0.15,0.12,0.16,1320269,1339542,1724191
ABDUL SATTAR A.S.R,Andhra Pradesh,Kurnoolu,AYSRCP,MALE,42,GENERAL,Post Graduate,1,6060000,1200000,0,Whistle,1565,36,1601,0.12,0.09,0.12,1320269,1339542,1724191
AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,Ananthapur,TDP,MALE,60,GENERAL,Graduate,8,47540056,2119559,1,Bicycle,755862,12383,768245,53.15,43.42,53.68,1431229,1445498,1769264
MALAGUNDLA SANKAR NARAYANA,Andhra Pradesh,Ananthapur,YSRCP,MALE,59,GENERAL,Graduate Professional,4,193107649,3765464,0,Ceiling fan,573769,5921,579690,40.1,32.76,40.5,1431229,1445498,1769264
G.V.RAMANA REDDY,Andhra Pradesh,Ananthapur,IND,MALE,59,GENERAL,12th Pass,1,51419000,640000,0,Basket containing Fruits,6436,3,6439,0.45,0.36,0.45,1431229,1445498,1769264
V.MURALI PRASAD REDDY,Andhra Pradesh,Ananthapur,IND,MALE,53,GENERAL,10th Pass,2,12043537,1987581,0,Bangles,5775,3,5778,0.4,0.33,0.4,1431229,1445498,1769264
DR.NALLANI RAMESH NAIDU,Andhra Pradesh,Ananthapur,ARPS,MALE,44,GENERAL,Graduate,1,,,0,Glass tumbler,4862,127,4989,0.35,0.28,0.35,1431229,1445498,1769264
B.RAGHAVENDRA PRASAD,Andhra Pradesh,Ananthapur,IND,MALE,33,SC,12th Pass,4,32394,0,0,Batsman,1317,1,1318,0.09,0.07,0.09,1431229,1445498,1769264
SREERANGARAJULA GOPINATH ROYAL,Andhra Pradesh,Ananthapur,IND,MALE,33,GENERAL,Post Graduate,5,,,0,Diamond,903,1,904,0.06,0.05,0.06,1431229,1445498,1769264
B K PARTHASARATHI,Andhra Pradesh,Hindupur,TDP,MALE,64,GENERAL,Graduate,15,168959895,17890470,1,Bicycle,713013,12521,725534,50.92,43.75,51.88,1398368,1424863,1658529
S N SURESH,Andhra Pradesh,Hindupur,IND,MALE,46,GENERAL,Post Graduate,1,34101900,3862000,0,Whistle,1611,20,1631,0.11,0.1,0.12,1398368,1424863,1658529
T SUDHAKAR REDDY,Andhra Pradesh,Hindupur,IND,MALE,46,GENERAL,12th Pass,2,7203914,2187000,0,Helmet,1227,10,1237,0.09,0.07,0.09,1398368,1424863,1658529
Y. S. AVINASH REDDY,Andhra Pradesh,Kadapa,YSRCP,MALE,39,GENERAL,Post Graduate,2,404301973,115643913,1,Ceiling fan,598406,6737,605143,45.58,36.87,46.37,1305129,1327619,1641349
CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Andhra Pradesh,Kadapa,TDP,MALE,37,GENERAL,Graduate Professional,1,30034646,11334283,0,Bicycle,532358,10090,542448,40.86,33.05,41.56,1305129,1327619,1641349
Y.S. SHARMILA REDDY,Andhra Pradesh,Kadapa,INC,FEMALE,50,GENERAL,Post Graduate,8,1818188237,1185890981,0,Hand,136395,4644,141039,10.62,8.59,10.81,1305129,1327619,1641349
PRABHAKAR REDDY VEMIREDDY,Andhra Pradesh,Nellore,TDP,MALE,68,GENERAL,Graduate,6,7163322265,1972962603,1,Bicycle,750771,15431,766202,55.57,44.73,56.34,1360072,1378697,1712840
VENUMBAKA VIJAYASAI REDDY,Andhra Pradesh,Nellore,YSRCP,MALE,66,GENERAL,Others,22,365167286,2284855,0,Ceiling fan,514375,5925,520300,37.74,30.38,38.26,1360072,1378697,1712840
KOPPALA RAGHU,Andhra Pradesh,Nellore,IND,MALE,38,SC,Graduate,1,,,0,Gas cylinder,2010,5,2015,0.15,0.12,0.15,1360072,1378697,1712840
SHAIK SHAFI AHMED,Andhra Pradesh,Nellore,AIFB,MALE,53,GENERAL,8th Pass,1,52600,21290,0,Lion,1037,0,1037,0.08,0.06,0.08,1360072,1378697,1712840
SYAMDHAN KURAPATI,Andhra Pradesh,Thirupathi,AHNP,MALE,53,SC,Graduate,1,368865,1165000,0,Chapati roller,1567,1,1568,0.11,0.09,0.11,1366452,1387466,1730318
C. PUNYAMURTHY,Andhra Pradesh,Thirupathi,URPI,MALE,50,SC,Others,4,2253020,4835485,0,Gas cylinder,1511,4,1515,0.11,0.09,0.11,1366452,1387466,1730318
NALLARI KIRAN KUMAR REDDY,Andhra Pradesh,Rajampet,BJP,MALE,63,GENERAL,Graduate Professional,1,953392516,230005240,0,Lotus,557030,11743,568773,42.51,34.11,43.04,1321539,1337920,1667385
AKBAR M BASHA,Andhra Pradesh,Rajampet,AYSRCP,MALE,65,GENERAL,12th Pass,2,,,0,Whistle,2394,17,2411,0.18,0.14,0.18,1321539,1337920,1667385
BATTHALA RAMANAIAH,Andhra Pradesh,Rajampet,JBNP,MALE,49,GENERAL,Graduate,1,810000,0,0,Battery Torch,1360,6,1366,0.1,0.08,0.1,1321539,1337920,1667385
DODDAPANENI RAJA NAIDU,Andhra Pradesh,Rajampet,IND,MALE,25,GENERAL,Post Graduate,1,2075000,0,0,Almirah,1315,3,1318,0.1,0.08,0.1,1321539,1337920,1667385
MADASI SUDHARSHAN,Andhra Pradesh,Chittoor,IND,MALE,32,SC,12th Pass,1,10000,0,0,Bucket,1575,3,1578,0.11,0.1,0.11,1406881,1425910,1643593
NABAM TUKI,Arunachal Pradesh,Arunachal West,INC,MALE,56,ST,Graduate,1,621025404,41620010,0,Hand,100100,4579,104679,26.02,20.13,26.33,397508,402330,520085
BANDEY MILI,Arunachal Pradesh,Arunachal East,ANCHDMCP,MALE,43,ST,12th Pass,1,34740988,0,0,Diamond,6419,203,6622,2.03,1.75,2.08,318548,326063,378357
JOYANTA BASUMATARY,Assam,Kokrajhar,UPPL,MALE,48,ST,Graduate,1,,,1,Tractor chalata kisan,484681,4314,488995,38.98,32.72,39.83,1227584,1254499,1494404
MOHAMMED BADRUDDIN AJMAL,Assam,Dhubri,AIUDF,MALE,68,GENERAL,Post Graduate,2,1550716648,11575000,0,Lock and key,458202,1207,459409,18.68,17.25,18.84,2438593,2458780,2663987
FARUK KHAN,Assam,Dhubri,IND,MALE,47,GENERAL,Graduate,1,,,0,Auto- rickshaw,10986,8,10994,0.45,0.41,0.45,2438593,2458780,2663987
ALAKESH ROY,Assam,Dhubri,IND,MALE,44,GENERAL,Graduate,1,282000,0,0,Sitar,6950,40,6990,0.28,0.26,0.29,2438593,2458780,2663987
SHUKUR ALI,Assam,Dhubri,AJM,MALE,30,GENERAL,12th Pass,1,130000,0,0,Coconut farm,4749,43,4792,0.19,0.18,0.2,2438593,2458780,2663987
PHANI BHUSAN CHOUDHURY,Assam,Barpeta,AGP,MALE,72,GENERAL,Graduate,1,32806601,1564895,1,Elephant,853642,6471,860113,50.89,43.46,51.54,1668826,1690051,1979051
DULU AHMED,Assam,Barpeta,IND,MALE,49,GENERAL,Graduate,15,635712765,118620393,0,Ship,9275,63,9338,0.55,0.47,0.56,1668826,1690051,1979051
SWARNA DEVI,Assam,Darrang-Udalguri,GNASURKP,FEMALE,48,GENERAL,Graduate,1,21653311,0,0,Battery Torch,11067,45,11112,0.61,0.5,0.62,1787996,1820644,2214516
AMITABH SARMA,Assam,Guwahati,ESBD,MALE,34,GENERAL,Graduate Professional,5,138882050,0,0,Flute,7508,19,7527,0.47,0.37,0.48,1579140,1602455,2039765
J. I. KATHAR,Assam,Diphu,IND,MALE,73,ST,Post Graduate,2,30295873,0,0,Scissors,185864,1153,187017,27.21,20.73,28.06,666568,687376,902050
SAHABUL ISLAM CHOUDHURY,Assam,Karimganj,AIUDF,MALE,55,GENERAL,Post Graduate,2,830391832,252016452,0,Lock and key,29070,135,29205,2.54,2.06,2.55,1143942,1147607,1414520
DILIP KUMAR,Assam,Karimganj,IND,MALE,52,GENERAL,12th Pass,1,4841500,0,0,Television,2623,7,2630,0.23,0.19,0.23,1143942,1147607,1414520
MUZAKKIR HASAN LASKAR,Assam,Karimganj,IND,MALE,33,GENERAL,Graduate,1,20000,0,0,Gas cylinder,2287,4,2291,0.2,0.16,0.2,1143942,1147607,1414520
ABDUL KALAM MAZUMDER,Assam,Karimganj,IND,MALE,39,GENERAL,8th Pass,3,,,0,Camera,975,0,975,0.08,0.07,0.09,1143942,1147607,1414520
SURESH BORAH,Assam,Nagaon,BJP,MALE,52,GENERAL,12th Pass,3,461446082,252322258,0,Lotus,573579,3040,576619,37.19,31.66,37.49,1538003,1550628,1821023
AMINUL ISLAM,Assam,Nagaon,AIUDF,MALE,52,GENERAL,Post Graduate,4,4136685,0,0,Lock and key,137033,307,137340,8.86,7.54,8.93,1538003,1550628,1821023
SIKHA SARMA,Assam,Nagaon,IND,FEMALE,56,GENERAL,Post Graduate,3,2251100,290875,0,Auto- rickshaw,6569,51,6620,0.43,0.36,0.43,1538003,1550628,1821023
ABU EUSUF MD RAIHAN UDDIN,Assam,Nagaon,IND,MALE,32,GENERAL,Graduate Professional,1,5751077,0,0,Battery Torch,2019,11,2030,0.13,0.11,0.13,1538003,1550628,1821023
PREMLAL GANJU,Assam,Sonitpur,INC,MALE,53,GENERAL,12th Pass,2,,,0,Hand,412553,1827,414380,32.11,25.28,32.64,1269720,1290556,1638992
RISHIRAJ KAUNDINYA,Assam,Sonitpur,AAAP,MALE,45,GENERAL,Graduate,7,,,0,Broom,32771,277,33048,2.56,2.02,2.6,1269720,1290556,1638992
ALAM ALI,Assam,Sonitpur,BAHUMP,MALE,44,GENERAL,5th Pass,1,225064,2500000,0,Whistle,4186,16,4202,0.33,0.26,0.33,1269720,1290556,1638992
GAURAV GOGOI,Assam,Jorhat,INC,MALE,41,GENERAL,Post Graduate,1,,,1,Hand,743194,8577,751771,53.84,43.38,54.61,1376605,1396283,1732944
DEEPAK YADAV,Bihar,Valmiki Nagar,RJD,MALE,46,GENERAL,Graduate Professional,3,,,0,Hurricane lamp,422959,1788,424747,38.49,23.22,39.65,1071121,1103474,1829052
NABA KUMAR SARANIA (HIRA BHAI),Bihar,Valmiki Nagar,GNASURKP,MALE,55,GENERAL,Graduate,4,40046569,1511993,0,Battery Torch,11420,3,11423,1.04,0.62,1.07,1071121,1103474,1829052
DR.SANJAY JAISWAL,Bihar,Paschim Champaran,BJP,MALE,58,GENERAL,Post Graduate,5,290535126,13525,1,Lotus,578959,1462,580421,53.41,32.99,53.99,1074968,1086798,1759234
SANJAY KUMAR,Bihar,Paschim Champaran,VKVIP,MALE,41,GENERAL,5th Pass,6,1215000,0,0,Diamond,13139,6,13145,1.21,0.75,1.22,1074968,1086798,1759234
MOHAMMAD SOAIB,Bihar,Paschim Champaran,IND,MALE,53,GENERAL,8th Pass,1,834339,0,0,Plastering trowel,8992,2,8994,0.83,0.51,0.84,1074968,1086798,1759234
NAFISH AHMAD,Bihar,Paschim Champaran,IND,MALE,51,GENERAL,8th Pass,1,5786621,0,0,Envelope,4163,0,4163,0.38,0.24,0.39,1074968,1086798,1759234
RADHA MOHAN SINGH,Bihar,Purvi Champaran,BJP,MALE,74,GENERAL,Graduate,2,,,1,Lotus,540598,1595,542193,50.47,30.23,51.45,1053900,1074344,1793440
DR RAJESH KUMAR,Bihar,Purvi Champaran,VSIP,MALE,50,GENERAL,Graduate Professional,5,,,0,Lady purse,451118,2788,453906,42.25,25.31,43.07,1053900,1074344,1793440
RITU JAISWAL,Bihar,Sheohar,RJD,FEMALE,46,GENERAL,Graduate,2,30854389,3498761,0,Hurricane lamp,445482,1987,447469,42.37,24.39,43.64,1025434,1055989,1834437
AKHILESHWAR SHRIVAISHANV,Bihar,Sheohar,IND,MALE,29,GENERAL,8th Pass,3,51801680,2089000,0,Road roller,29014,80,29094,2.76,1.59,2.84,1025434,1055989,1834437
KANHAIYA KUMAR,Bihar,Sheohar,IND,MALE,26,GENERAL,Doctorate,6,1072966,0,0,Almirah,20585,7,20592,1.95,1.12,2.01,1025434,1055989,1834437
MOHAMMAD MAHTAB ALAM,Bihar,Sheohar,SMJSKTP,MALE,28,GENERAL,Graduate,1,1980600,1560000,0,Scissors,4867,4,4871,0.46,0.27,0.48,1025434,1055989,1834437
DEVESH CHANDRA THAKUR,Bihar,Sitamarhi,JD(U),MALE,71,GENERAL,Graduate Professional,1,,,1,Arrow,514940,779,515719,47.01,26.45,48.57,1061859,1096960,1950028
KRISHNA KISHORE,Bihar,Sitamarhi,IND,MALE,38,GENERAL,Others,5,8927200,0,0,Auto- rickshaw,3280,0,3280,0.3,0.17,0.31,1061859,1096960,1950028
ASHOK KUMAR YADAV,Bihar,Madhubani,BJP,MALE,54,GENERAL,Doctorate,2,,,1,Lotus,552705,723,553428,53.83,28.57,54.96,1007009,1028128,1936759
PRIYE RANJAN,Bihar,Madhubani,IND,MALE,31,GENERAL,Post Graduate,2,,,0,Auto- rickshaw,7046,4,7050,0.69,0.36,0.7,1007009,1028128,1936759
SUMAN KUMAR MAHASETH,Bihar,Jhanjharpur,VSIP,MALE,59,GENERAL,Graduate Professional,6,214427249,600000,0,Lady purse,347989,874,348863,31.89,17.4,32.98,1057813,1094117,2005278
GULAB YADAV,Bihar,Jhanjharpur,BSP,MALE,56,GENERAL,Literate,2,162504239,4909206,0,Elephant,73532,352,73884,6.75,3.68,6.98,1057813,1094117,2005278
